model,mean_envelope_width,median_envelope_width,final_envelope_width,max_envelope_width,steps
VGG-A,0.7560502626171166,0.8347286581993103,0.9501912593841553,1.2805567979812622,3520
VGG-A-BN,0.7670611992139708,0.7680009603500366,0.8563207387924194,1.1370153427124023,3520
