stage,role,experiment,model,params,epochs,best_val_acc,best_val_error,best_val_loss,best_val_epoch,final_val_acc,final_val_loss,mean_epoch_time,mean_images_per_second,gpu_peak_memory_gb,train_time_seconds,selected_weights,best_val_acc_raw,best_val_epoch_raw,best_val_acc_ema,best_val_epoch_ema,val_no_tta_acc,val_no_tta_loss,val_flip_tta_acc,val_flip_tta_loss,best_train_acc_at_raw_best_val,best_raw_val_acc,final_train_acc,final_train_val_gap,last10_val_acc_mean,last10_val_acc_std,last10_val_loss_mean,checkpoint,history_csv
B,champion_candidate,champion_w6_stageB,preact_resnet_cifar,13144794,150,0.9616,0.03839999999999999,0.3983553863525391,142,0.9606,0.39577830023765564,23.64199201431048,1903.5329427850556,5.564451217651367,3662.8812555989716,raw,0.9616,142,0.9606,140,0.9616,0.14001413259506226,0.9608,0.1324134690999985,0.9338222222222222,0.9616,0.9334444444444444,-0.0271555555555556,0.9603400000000001,0.0006264183905346317,0.3973029059314727,results/checkpoints/champion_w6_stageB_best_val.pt,results/logs/champion_w6_stageB_history.csv
B,champion_candidate,champion_w4_stageB,preact_resnet_cifar,5849050,150,0.9586,0.04139999999999999,0.40975117616653445,148,0.9584,0.41037093181610107,23.564062126930803,1909.7252573443313,3.4297170639038086,3579.6649672300555,raw,0.9586,148,0.9582,150,0.9586,0.1484634712457657,0.9586,0.1418963624715805,0.9152888888888888,0.9586,0.9127111111111113,-0.04568888888888878,0.95724,0.0010762899237659054,0.41214578787326805,results/checkpoints/champion_w4_stageB_best_val.pt,results/logs/champion_w4_stageB_history.csv
B,efficient,compact_resnet_v2_stageB,compact_resnet_v2,7747170,150,0.9464,0.05359999999999998,0.4290398651599884,138,0.9448,0.42833438696861265,23.72656184232561,1896.666609379756,4.980555057525635,3628.6271240350325,ema,0.9452,147,0.9464,138,,,,,0.9186444444444444,0.9452,0.9183333333333332,-0.02646666666666675,0.94384,0.0011993331480451923,0.43010647724151607,results/checkpoints/compact_resnet_v2_stageB_best_val_ema.pt,results/logs/compact_resnet_v2_stageB_history.csv
