stage,role,experiment,model,params,base_epoch,fine_tune_epochs,best_val_acc,best_val_error,best_val_loss,best_val_epoch,final_val_acc,final_val_loss,mean_epoch_time,mean_images_per_second,gpu_peak_memory_gb,fine_tune_time_seconds,selected_weights,raw_best_checkpoint,ema_best_checkpoint,checkpoint,last_checkpoint,history_csv,resume_raw_checkpoint,resume_mode,fine_tune_start_lr,fine_tune_max_lr,fine_tune_min_lr,warmup_epochs,official_test_used,best_val_acc_raw,best_val_epoch_raw,best_val_acc_ema,best_val_epoch_ema,best_train_acc_at_raw_best_val,best_raw_val_acc,final_train_acc,final_train_val_gap,last10_val_acc_mean,last10_val_acc_std,last10_val_loss_mean
C-lowLR,champion_candidate,champion_w4_stageC_lowLR,preact_resnet_cifar,5849050,150,100,0.9598,0.040200000000000014,0.4061853409767151,55,0.9588,0.40659720420837403,23.249615799018066,1935.6761905072926,3.4738383293151855,2360.7435496929684,raw,results/checkpoints/champion_w4_stageC_lowLR_best_val_raw.pt,results/checkpoints/champion_w4_stageC_lowLR_best_val_ema.pt,results/checkpoints/champion_w4_stageC_lowLR_best_val.pt,results/checkpoints/champion_w4_stageC_lowLR_last.pt,results/logs/champion_w4_stageC_lowLR_history.csv,results/checkpoints/champion_w4_stageB_last.pt,low_lr_finetune,2.1931652515450042e-05,0.0003,1e-06,3,False,0.9598,33,0.9594,34,0.9171777777777778,0.9598,0.9298888888888889,-0.02891111111111111,0.95878,0.00020880613017821033,0.40666428284645073
C-lowLR,champion_candidate,champion_w6_stageC_lowLR,preact_resnet_cifar,13144794,150,100,0.9632,0.036800000000000055,0.39556318740844726,43,0.9616,0.3943728620529175,23.80845156977128,1890.4394363078359,5.674408435821533,2477.649162858026,raw,results/checkpoints/champion_w6_stageC_lowLR_best_val_raw.pt,results/checkpoints/champion_w6_stageC_lowLR_best_val_ema.pt,results/checkpoints/champion_w6_stageC_lowLR_best_val.pt,results/checkpoints/champion_w6_stageC_lowLR_last.pt,results/logs/champion_w6_stageC_lowLR_history.csv,results/checkpoints/champion_w6_stageB_last.pt,low_lr_finetune,2.1931652515450042e-05,0.0003,1e-06,3,False,0.9632,43,0.9626,46,0.9385555555555556,0.9632,0.9501333333333334,-0.011466666666666625,0.9616000000000001,0.00037947331922021636,0.3945789591312409
