epoch,phase,phase_epoch,global_step,train_loss,train_acc,lr_start,lr_end,epoch_time,images_per_second,peak_gpu_memory,gpu_peak_memory_gb,grad_norm,total_elapsed_time
1,base,1,196,2.055083362503052,0.24528,0.2,0.19997806834748455,25.040451369946823,1996.769118148136,3.406780242919922,3.406780242919922,0.7161431429100037,25.04371371801244
2,base,2,392,1.8512674028015137,0.33598,0.19997806834748455,0.19991228300988584,23.961682759982068,2086.6648015015044,3.406780242919922,3.406780242919922,0.6140772426223755,49.06879912200384
3,base,3,588,1.731751220626831,0.39098,0.19991228300988584,0.19980267284282716,23.924601584032644,2089.898961300579,3.406780242919922,3.406780242919922,0.6784521757507325,73.16564546700101
4,base,4,784,1.5925396630859374,0.45896,0.19980267284282716,0.19964928592495043,23.988481296983082,2084.3337008703534,3.406780242919922,3.406780242919922,0.7432879650497437,97.3346444349736
5,base,5,980,1.4844708702087401,0.5082,0.19964928592495043,0.19945218953682733,23.982624672993552,2084.842700986944,3.406780242919922,3.406780242919922,0.7854127379608155,121.487247432
6,base,6,1176,1.4069495457458496,0.54064,0.19945218953682733,0.1992114701314478,23.98668994801119,2084.4893609068245,3.406780242919922,3.406780242919922,0.8094612554168701,145.64501122699585
7,base,7,1372,1.3473887602615355,0.56936,0.1992114701314478,0.19892723329629883,23.967174368037377,2086.186683177805,3.406780242919922,3.406780242919922,0.8530360891723633,169.78428416198585
8,base,8,1568,1.2938188111114501,0.58998,0.19892723329629883,0.1985996037070505,23.95583254599478,2087.174382439052,3.406780242919922,3.406780242919922,0.8813978911590576,193.9159174549859
9,base,9,1764,1.2474771675872802,0.61142,0.1985996037070505,0.19822872507286887,23.965373047045432,2086.343488242268,3.406780242919922,3.406780242919922,0.91162580493927,218.0490310259629
10,base,10,1960,1.2024317748260498,0.63212,0.19822872507286887,0.19781476007338056,23.990805728011765,2084.1317530915517,3.406780242919922,3.406780242919922,0.9329243771743775,242.19761529797688
11,base,11,2156,1.1688556032180786,0.648,0.19781476007338056,0.197357890287316,24.00790343200788,2082.6474973795034,3.406780242919922,3.406780242919922,0.9502412139129639,266.36529947497183
12,base,12,2352,1.1399910482788085,0.6585,0.197357890287316,0.1968583161128631,23.97426379402168,2085.5697772236995,3.406780242919922,3.406780242919922,0.9527531851577759,290.4680677889846
13,base,13,2548,1.115748798561096,0.66974,0.1968583161128631,0.19631625667976582,23.95171971298987,2087.5327784035157,3.406780242919922,3.406780242919922,0.9613219007873535,314.59557398298057
14,base,14,2744,1.0950293928909303,0.67804,0.19631625667976582,0.1957319497532067,23.984802919032518,2084.653360246033,3.406780242919922,3.406780242919922,0.967215122718811,338.75623452401487
15,base,15,2940,1.0752096702575684,0.68698,0.1957319497532067,0.19510565162951538,23.98227614100324,2084.8729997947717,3.406780242919922,3.406780242919922,0.9713924580383301,362.91246356396005
16,base,16,3136,1.0689736973571777,0.69036,0.19510565162951538,0.19443763702374814,23.97460829099873,2085.539809164369,3.406780242919922,3.406780242919922,0.9796496122741699,387.0588489350048
17,base,17,3332,1.0589331396484376,0.69454,0.19443763702374814,0.1937281989491892,23.98015731596388,2085.057213812121,3.406780242919922,3.406780242919922,0.9830130123138427,411.20728854998015
18,base,18,3528,1.047788274269104,0.69742,0.1937281989491892,0.19297764858882516,23.95436689897906,2087.30208612322,3.406780242919922,3.406780242919922,0.9908994382476807,435.2799371769652
19,base,19,3724,1.0386984982299805,0.70264,0.19297764858882516,0.19218631515885007,23.92265998199582,2090.0685809032093,3.406780242919922,3.406780242919922,1.0014129956054687,459.3788579480024
20,base,20,3920,1.0337719126701355,0.70462,0.19218631515885007,0.1913545457642601,23.929472896037623,2089.473521511595,3.406780242919922,3.406780242919922,0.9917366579437256,483.4827824420063
21,base,21,4116,1.0291850852394104,0.70618,0.1913545457642601,0.19048270524660196,23.95689738501096,2087.081611464569,3.406780242919922,3.406780242919922,1.0069004399871826,507.609597920964
22,base,22,4312,1.0165633319664003,0.71278,0.19048270524660196,0.1895711760239413,24.02589256403735,2081.0881371725372,3.406780242919922,3.406780242919922,1.0029443915939331,531.810329512984
23,base,23,4508,1.016505037612915,0.71164,0.1895711760239413,0.18862035792312146,23.946471760980785,2087.990268423248,3.406780242919922,3.406780242919922,1.0153243249511719,555.9305608680006
24,base,24,4704,1.0133299723434448,0.71266,0.18862035792312146,0.18763066800438635,23.973383346979972,2085.646371908482,3.406780242919922,3.406780242919922,1.0152078582382202,580.0676662329934
25,base,25,4900,1.003444380493164,0.71568,0.18763066800438635,0.18660254037844387,23.911633852985688,2091.0323530132523,3.406780242919922,3.406780242919922,1.0052597259902953,604.1315316199907
