model,probe_split,snapshot_label,snapshot_epoch,alpha,perturbation_mode,base_loss,perturbed_loss,actual_delta,linear_pred_delta,relative_prediction_error,gradient_cosine_similarity,grad_norm,perturbed_grad_norm,grad_diff_norm,relative_gradient_change,delta_norm,weight_norm,relative_perturbation_norm,grad_lipschitz_estimate
VGG-A,train_dev,epoch20,20,0.001,layer_normalized,0.3277221918106079,0.2704269289970398,-0.057295262813568115,-0.07637783885002136,0.3330567851402593,0.7196717090004712,1.6497515439987183,1.2060182094573975,1.1455998420715332,0.6944074980495507,0.058712318539619446,58.712318420410156,0.0010000000020303965,19.5120865700181
VGG-A,train_dev,epoch20,20,0.003,layer_normalized,0.3277221918106079,0.25781840085983276,-0.06990379095077515,-0.2291335165500641,2.277841064605714,-0.14585093936250554,1.6497515439987183,2.1957030296325684,2.932480573654175,1.777528612912426,0.17613695561885834,58.712318420410156,0.0030000000060911897,16.648866010831657
VGG-A,train_dev,epoch20,20,0.01,layer_normalized,0.3277221918106079,1.0837574005126953,0.7560352087020874,-0.7637783288955688,2.01024174549592,-0.34878032439016055,1.6497515439987183,10.683968544006348,11.365035057067871,6.88893736660549,0.5871231555938721,58.712318420410156,0.009999999512704826,19.35715692489116
VGG-A,train_dev,epoch30,30,0.0001,layer_normalized,0.2132076472043991,0.20479923486709595,-0.008408412337303162,-0.008749807253479958,0.04060159070247165,0.9956358738087798,1.9863383769989014,1.8576898574829102,0.2208111584186554,0.11116492586337294,0.0055099367164075375,55.099365234375,0.00010000000350221888,40.075080673997945
VGG-A,train_dev,epoch30,30,0.0003,layer_normalized,0.2132076472043991,0.18959392607212067,-0.023613721132278442,-0.026249423623085022,0.11161741413147051,0.9704577272952916,1.9863383769989014,1.6532853841781616,0.5522281527519226,0.27801313167309766,0.016529811546206474,55.099365234375,0.0003000000358605578,33.40801262060708
VGG-A,train_dev,epoch30,30,0.001,layer_normalized,0.2132076472043991,0.15358352661132812,-0.059624120593070984,-0.08749805390834808,0.46749424625503616,0.6445687454299003,1.9863383769989014,1.252454400062561,1.5189036130905151,0.7646751584115193,0.055099375545978546,55.099365234375,0.001000000187145596,27.56662118290328
VGG-A,train_dev,epoch30,30,0.003,layer_normalized,0.2132076472043991,0.16726098954677582,-0.04594665765762329,-0.26249420642852783,4.7130207029319315,-0.2696462513023095,1.9863383769989014,2.3678321838378906,3.4768710136413574,1.7503921053443354,0.16529813408851624,55.099365234375,0.0030000006966575945,21.033939873631677
VGG-A,train_dev,epoch30,30,0.01,layer_normalized,0.2132076472043991,1.1606932878494263,0.9474856406450272,-0.8749805092811584,1.9234762742003046,-0.4204218333082209,1.9863383769989014,12.117720603942871,13.077603340148926,6.58377419053217,0.5509936809539795,55.099365234375,0.010000000519247897,23.73457952822004
VGG-A,train_dev,best-val,50,0.0001,layer_normalized,0.0701625794172287,0.06419061124324799,-0.005971968173980713,-0.006323076318949461,0.058792701960216784,0.9935368144784631,1.5196115970611572,1.372821569442749,0.22025541961193085,0.14494191807820653,0.005323396064341068,53.23396301269531,9.99999955492988e-05,41.37498261444767
VGG-A,train_dev,best-val,50,0.0003,layer_normalized,0.0701625794172287,0.054219454526901245,-0.015943124890327454,-0.018969230353832245,0.18980629483375003,0.9414796396877931,1.5196115970611572,1.1266446113586426,0.5956539511680603,0.3919777608436401,0.01597018912434578,53.23396301269531,0.00030000000414279106,37.297864573188726
