stage,role,experiment,model,params,resume_epoch,epochs,best_val_acc,best_val_error,best_val_loss,best_val_epoch,final_val_acc,final_val_loss,mean_epoch_time,mean_images_per_second,gpu_peak_memory_gb,train_time_seconds,stage_c_extension_time_seconds,selected_weights,best_val_acc_raw,best_val_epoch_raw,best_val_acc_ema,best_val_epoch_ema,best_train_acc_at_raw_best_val,best_raw_val_acc,final_train_acc,final_train_val_gap,last10_val_acc_mean,last10_val_acc_std,last10_val_loss_mean,checkpoint,last_checkpoint,history_csv,resume_raw_checkpoint,resume_ema_checkpoint,scheduler_resume_policy,official_test_used
C,champion_candidate,champion_w4_stageC250,preact_resnet_cifar,5849050,150,250,0.9632,0.036800000000000055,0.40066643714904787,250,0.9626,0.40097430787086485,23.37571406228235,1925.3268031046543,3.5191802978515625,5922.795073572022,2343.6319329979597,ema,0.9628,245,0.9632,246,0.9311555555555555,0.9628,0.9300666666666667,-0.0325333333333333,0.9618,0.0007641989269817093,0.40113616034507754,results/checkpoints/champion_w4_stageC250_best_val_ema.pt,results/checkpoints/champion_w4_stageC250_last.pt,results/logs/champion_w4_stageC250_history.csv,results/checkpoints/champion_w4_stageB_last.pt,results/checkpoints/champion_w4_stageB_last_ema.pt,explicit_total_budget_cosine_from_stage_b_checkpoint,False
C,champion_candidate,champion_w6_stageC250,preact_resnet_cifar,13144794,150,250,0.9658,0.03420000000000001,0.3863745270729065,246,0.9646,0.38560808963775633,23.554290671649156,1910.6371364676222,5.798223495483398,6076.94733807398,2415.64620969299,raw,0.9658,246,0.9654,250,0.9486444444444444,0.9658,0.9498444444444445,-0.014755555555555522,0.9649400000000001,0.0003903844259188442,0.38618515326023095,results/checkpoints/champion_w6_stageC250_best_val.pt,results/checkpoints/champion_w6_stageC250_last.pt,results/logs/champion_w6_stageC250_history.csv,results/checkpoints/champion_w6_stageB_last.pt,results/checkpoints/champion_w6_stageB_last_ema.pt,explicit_total_budget_cosine_from_stage_b_checkpoint,False
